"DVD_Title","Studio","Released","Status","Sound","Versions","Price","Rating","Year","Genre","Aspect","UPC","DVD_ReleaseDate","ID","Timestamp","Updated"
"Criminal Minds: The 4th - 8th Seasons","Paramount",,"Out","5.1","LBX, 16:9",64.99,"NR","VAR","TV Classics","1.78:1","032429269812",2017-02-28 00:00:00,298916,2017-02-28 00:00:00,"1"
"Danger Close","Anderson Digital",2017-05-16 00:00:00,"Pending","2.0","LBX, 16:9",19.99,"NR","2017","Action/Adventure","1.85:1","191329002698",2017-05-16 00:00:00,299310,2017-02-28 00:00:00,"0"
"Danger Close (Blu-ray)","Anderson Digital",2017-05-16 00:00:00,"Pending","2.0","LBX, 16:9, BLU-RAY",26.99,"NR","2017","Action/Adventure","1.85:1","191329002681",2017-05-16 00:00:00,299274,2017-02-28 00:00:00,"0"
"Daniel Tiger's Neighborhood: Daniel Visits The Farm","PBS",,"Out","2.0","LBX, 16:9",6.99,"NR","2016","Family","1.78:1","841887031363",2017-02-28 00:00:00,297502,2017-02-28 00:00:00,"1"
"Deadtime Stories (Shout! Factory/ DVD & Blu-ray Combo)","Shout! Factory",,"Out","2.0","LBX, 16:9, BLU-RAY",29.99,"R","1986","Horror","1.85:1","826663173444",2017-02-28 00:00:00,298085,2017-02-28 00:00:00,"1"
"Disabling The Disobey Ray: Plus Two Additional Bibleman Adventures!","B&H Publishing",,"Out","2.0","4:3",12.99,"NR","2017","Special Interest","1.33:1","9781433649509",2017-03-01 00:00:00,293268,2017-02-28 00:00:00,"1"
"Doctor Strange (2016)","Buena Vista",,"Out","5.1","LBX, 16:9",29.99,"PG-13","2016","Action/Adventure","2.35:1","786936852240",2017-02-28 00:00:00,296822,2017-02-28 00:00:00,"1"
"Doctor Strange (2016/ Blu-ray 3D/ DVD w/ Digital Copy)","Buena Vista",,"Out","5.1 DTS-HD","LBX, 16:9, BLU-RAY",39.99,"PG-13","2016","Action/Adventure","2.35:1","786936852691",2017-02-28 00:00:00,296806,2017-02-28 00:00:00,"1"
"Doctor Strange (2016/ DVD & Blu-ray Combo w/ Digital Copy)","Buena Vista",,"Out","5.1 DTS-HD","LBX, 16:9, BLU-RAY",39.99,"PG-13","2016","Action/Adventure","2.35:1","786936852714",2017-02-28 00:00:00,296831,2017-02-28 00:00:00,"1"
"Dog By Dog (On Demand DVD-R)","Gravitas Ventures",,"Out","2.0","LBX, 16:9",16.99,"NR","2015","Documentary","1.78:1","191091266175",2017-02-28 00:00:00,299206,2017-02-28 00:00:00,"1"
"Elite (2017)","Lost Empire",,"Out","2.0","4:3",19.95,"NR","2017","Action/Adventure","1.33:1","760137963394",2017-02-28 00:00:00,297580,2017-02-28 00:00:00,"1"
